source_api,org_name,region,course_title,category,credit_type,cost,weeks,weekly_hours,matched_code
K-MOOC(대학),서울대 평생교육원,서울 관악,데이터로 세상 읽기: 비즈니스 통계 기초,경영·기획·사무,학점은행제 인정,무료,12,3,02010102
K-MOOC(대학),연세대 미래교육원,서울 서대문,디지털 시대의 설득 커뮤니케이션과 기획,경영·기획·사무,이수증 발급,무료,8,2,02010101
K-MOOC(대학),고려대 평생교육원,서울 성북,빅데이터 기반 고객경험(CX) 마케팅,디지털 마케팅 & 홍보,학점은행제 인정,무료,10,3,02020101
K-MOOC(대학),한양대 미래인재교육원,서울 성동,생활 속의 회계와 창업 재무관리,회계·재무·세무,학점은행제 인정,무료,12,3,02030101
K-MOOC(대학),건국대 미래지식교육원,서울 광진,이커머스 비즈니스 모델과 플랫폼 유통,유통·물류·이커머스,학점은행제 인정,무료,10,3,02040101
K-MOOC(대학),인하대 평생교육원,인천 미추홀,스마트 물류와 항만 유통의 이해,유통·물류·이커머스,학점은행제 인정,무료,12,3,02040102
K-MOOC(대학),아주대 평생교육원,경기 수원,현대 노동법과 인적자원관리,인사·총무·노무,학점은행제 인정,무료,10,3,02050101
서울시 평생학습포털,서울시민대학(중구),서울 중구,ChatGPT를 활용한 직무 보고서 및 사업기획서 완성,경영·기획·사무,서울시민학위제 인정,무료,6,2,02010101
서울시 평생학습포털,마포구 평생학습관,서울 마포,인스타그램 릴스 & 유튜브 쇼츠 실전 제작 워크숍,디지털 마케팅 & 홍보,수료증 발급,무료,4,3,02020102
서울시 평생학습포털,강남구 평생학습센터,서울 강남,직장인을 위한 연말정산과 원천세 절세 특강,회계·재무·세무,수료증 발급,무료,4,2,02030101
서울시 평생학습포털,동대문구 평생학습관,서울 동대문,동대문 패션상권 기반 스마트스토어 창업 실무,유통·물류·이커머스,수료증 발급,무료,8,3,02040101
서울시 평생학습포털,영등포구 평생학습원,서울 영등포,스타트업 & 중소기업 인사담당자 노동법 클리닉,인사·총무·노무,수료증 발급,무료,6,2,02050101
경기데이터드림,경기도 지식(GSEEK),경기 수원,엑셀로 끝내는 실무 비즈니스 데이터 시각화,경영·기획·사무,경기도지사 수료증,무료,6,2,02010102
경기데이터드림,판교스타트업캠퍼스,경기 성남,판교 IT기업 스타일 퍼포먼스 마케팅 실전,디지털 마케팅 & 홍보,전문가 수료증,무료,8,3,02020101
경기데이터드림,경기도 지식(GSEEK),경기 용인,중소제조업 회계전표 입력부터 결산까지 한 번에,회계·재무·세무,경기도지사 수료증,무료,8,2,02030101
경기데이터드림,평택항만물류교육센터,경기 평택,경기남부 복합물류센터 WMS 풀필먼트 운영 기초,유통·물류·이커머스,물류이수증,무료,8,3,02040102
경기데이터드림,고양시 평생학습관,경기 고양,중소기업 MZ세대 온보딩과 사내 커뮤니케이션,인사·총무·노무,수료증 발급,무료,6,2,02050102
