job_code,category,course_name,unit_name,hours,ncs_level,demand_score,offline_practice
02010101,경영·기획·사무,생성형 AI 활용 업무 생산성 혁신,프롬프트 엔지니어링 및 스마트 기획서 작성,40,3,96,보고서 작성 및 AI 실무 피드백
02010102,경영·기획·사무,스프레드시트 & BI 비즈니스 데이터 시각화,피벗테이블 및 대시보드 자동화,45,3,94,실제 매출 데이터 분석 랩실 프로젝트
02020101,디지털 마케팅 & 홍보,소상공인·중소기업 퍼포먼스 마케팅,메타/구글 광고 집행 및 ROAS 최적화,45,3,95,광고 카피라이팅 및 실전 캠페인 라이브 세팅
02020102,디지털 마케팅 & 홍보,숏폼 & SNS 콘텐츠 바이럴 마케팅,릴스/쇼츠 기획 및 영상 컷편집 실무,36,2,92,평생교육원 스튜디오 실습 촬영 및 편집
02030101,회계·재무·세무,중소기업 실전 전산세무회계,원천징수 및 부가가치세 신고 실무,50,3,93,더존/세무사랑 프로그램 모의 신고 실습
02030102,회계·재무·세무,비전공자를 위한 재무제표 읽기와 재무분석,재무상태표/손익계산서 진단,30,3,88,상장사 재무제표 벤치마킹 케이스 스터디
02040101,유통·물류·이커머스,네이버 스마트스토어 & 쿠팡 마켓 개설 실무,상품 소싱 및 상세페이지 기획,40,2,97,스마트스토어 등록 및 패키지 발송 실습
02040102,유통·물류·이커머스,수도권 당일배송 풀필먼트 물류 기초,재고관리(WMS) 및 라스트마일 배송 운영,35,3,89,물류센터 동선 최적화 모의 시뮬레이션
02050101,인사·총무·노무,인사실무자를 위한 근로기준법 및 노무관리,"근로계약서, 임금명세서, 퇴직정산 실무",35,4,91,노무 분쟁 사례 분석 및 모의 노사협의
02050102,인사·총무·노무,조직문화 개선 및 스마트 온보딩 기획,신규입사자 교육 및 직무만족도 서베이,30,3,86,사내 온보딩 매뉴얼 제작 워크숍
