"시도별(17개)","규모별","직종별",2026.1/2,2026.1/2,2026.1/2,2026.1/2,2026.1/2,2026.1/2,2026.1/2
"시도별(17개)","규모별","직종별",현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%)
"전국","전규모(1인이상)","전직종",18754735,1463570,1367813,95757,466989,459523,2.4
"전국","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",4802851,195340,178046,17294,77158,76377,1.6
"전국","전규모(1인이상)","1 연구직 및 공학 기술직",1782346,81817,70783,11034,42366,41770,2.3
"전국","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",1366290,157325,151937,5388,35465,34104,2.5
"전국","전규모(1인이상)","3 보건ㆍ의료직",1075267,82899,75447,7452,24879,24781,2.3
"전국","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",425983,32126,29866,2260,17265,16780,3.9
"전국","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",3093795,388483,375786,12697,93958,93032,2.9
"전국","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",2496357,193729,178965,14764,69716,66184,2.7
"전국","전규모(1인이상)","7 건설ㆍ채굴직",632176,142343,140592,1751,17924,19575,2.8
"전국","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",3042107,178610,155625,22985,85694,84372,2.7
"전국","전규모(1인이상)","9 농림어업직",37562,10898,10766,132,2563,2549,6.4
