target_group,course_hours,completion_rate,avg_weekly_study_hours,peak_learning_time,weekend_ratio,recommended_online_ratio
재직자(수도권 중견·중소),20,87.5,4.6,야간(20~23시),42.5,60
재직자(수도권 중견·중소),30,81.1,6.1,야간(20~23시),42.5,60
재직자(수도권 중견·중소),40,76.3,7.2,야간(20~23시),42.5,60
재직자(수도권 중견·중소),50,71.8,9.7,야간(20~23시),42.5,50
재직자(수도권 중견·중소),60,72.7,10.5,야간(20~23시),42.5,50
재직자(수도권 중견·중소),80,61.3,14.8,야간(20~23시),42.5,40
재직자(수도권 중견·중소),100,48.6,17.3,야간(20~23시),42.5,40
재직자(대기업),20,87.6,4.0,야간(20~23시),42.5,60
재직자(대기업),30,82.2,5.9,야간(20~23시),42.5,60
재직자(대기업),40,71.3,7.5,야간(20~23시),42.5,60
재직자(대기업),50,69.5,9.1,야간(20~23시),42.5,50
재직자(대기업),60,68.9,10.9,야간(20~23시),42.5,50
재직자(대기업),80,63.4,14.0,야간(20~23시),42.5,40
재직자(대기업),100,49.3,17.7,야간(20~23시),42.5,40
구직자/전직준비생,20,85.4,4.4,오후(14~18시),18.0,60
구직자/전직준비생,30,84.8,5.7,오후(14~18시),18.0,60
구직자/전직준비생,40,80.2,7.9,오후(14~18시),18.0,60
구직자/전직준비생,50,78.6,9.3,오후(14~18시),18.0,50
구직자/전직준비생,60,77.0,10.5,오후(14~18시),18.0,50
구직자/전직준비생,80,68.8,14.7,오후(14~18시),18.0,40
구직자/전직준비생,100,69.5,17.5,오후(14~18시),18.0,40
